Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
Bright Leaves,Ross McElwee,,,,Male,2003,Film,-,-
A Mounatin Called Desire (Una Montaña llamada deseo),Sandra Vásquez de la Horra,Chilean,1967,,Female,2010,Drawings,-,43
Plate XLVII from the Barcelona Series,Joan Miró,Spanish,1893,1983,Male,1944,Prints & Illustrated Books,90,51
Canto VI from 18 Cantos,Barnett Newman,American,1905,1970,Male,1963,Prints & Illustrated Books,65,58
Chagres River from the Fort,Eadweard J. Muybridge,American,1830,1904,Male,1875,Photography,74,45
"Men of Air, New York",Robert Frank,American,1924,,Male,1948,Photography,-,24
William Eggleston and Friend,Lee Friedlander,American,1934,,Male,1990,Photography,-,56
Seated Nude,Fernand Léger,French,1881,1955,Male,1913,Drawings,74,32
"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Bradford Washburn,American,1910,2007,Male,1958,Photography,97,48
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,American,1886,1969,Male,1921,Architecture & Design,83,35
Ouray from Copper Series,Frank Stella,American,1936,,Male,1970,Prints & Illustrated Books,-,34
Bodies of Women (Corps de dames),Jean Dubuffet,French,1901,1985,Male,1950,Prints & Illustrated Books,84,49
Ear,Louise Bourgeois,American,1911,2010,Female,2004,Prints & Illustrated Books,99,93
Pablo Picasso,Man Ray (Emmanuel Radnitzky),American,1890,1976,Male,1926,Photography,86,36
Plate (folio 43) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,American,1943,,Male,1973,Prints & Illustrated Books,-,30
RETURN FROM TOIL,John Sloan,American,1871,1951,Male,1915,Prints & Illustrated Books,80,44
Ears,Louise Bourgeois,American,1911,2010,Female,2003,Prints & Illustrated Books,99,92
Blue Jean from AGPA 73: Pan American Graphic Arts (AGPA 73: Artes gráficas panamericanas),Miguel Angel Rojas,Colombian,1946,,Male,1973,Prints & Illustrated Books,-,27
J.A.B. AND HIS UMBRELLA,Stephen Scheer,American,1954,,Male,1986,Photography,-,32
Tube,Roman Signer,Swiss,1938,,Male,1982,Media and Performance Art,-,44
In-text plate (page 78) from LYSISTRATA,František Kupka,Czech,1871,1957,Male,1910,Prints & Illustrated Books,86,39
"German People - German Work Exhibit, Berlin, Germany, Installation of the vitrine for crystal glass. Elevation, plan, and sections.",Lilly Reich,German,1885,1947,Female,1934,Architecture & Design,62,49
Plate (page 44) from PARADISE GARDEN,Sidney Nolan,Australian,1917,1992,Male,1971,Prints & Illustrated Books,75,54
"SALUTATIONS, SENOR!","George Overbury (""Pop"") Hart",American,1868,1933,Male,1926,Prints & Illustrated Books,65,58
NUMBER 12,Antoni Tàpies,Spanish,1923,2012,Male,1960,Prints & Illustrated Books,89,37
"50,000 Meals Served (50,000 Cubiertos)",José Chávez Morado,Mexican,1909,2002,Male,1939,Prints & Illustrated Books,93,30
In-text plate (page 68) from LE VOYAGE D'URIEN,Maurice Denis,French,1870,1943,Male,1893,Prints & Illustrated Books,73,23
Kaleidoscope #2 (Furnishing fabric),Herbert Bayer,American,1900,1985,Male,1952,Architecture & Design,85,52
Nations,Slavs and Tatars,,2005,,,2007,Prints & Illustrated Books,-,2
"THE WINE PRESS IN OPEN AIR (plate; volume I, page 147) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,French,1884,1974,Male,1940,Prints & Illustrated Books,90,56
"The Brown Sisters, Marblehead, Massachusetts",Nicholas Nixon,American,1947,,Male,1995,Photography,-,48
Linear Still Life,William Scott,British,1913,1989,Male,1973,Drawings,76,60
Blind Man and His Son (Homem cego e seu filho),Candido Portinari,Brazilian,1903,1962,Male,1939,Prints & Illustrated Books,59,36
